temperature, cv_equiv
1.000,  129.670
1.900,  338.644
1.982,  368.331
2.064,  399.735
2.145,  432.883
2.227,  467.806
2.309,  504.539
2.391,  543.122
2.473,  583.598
2.555,  626.011
2.636,  670.411
2.718,  716.847
2.800,  765.373
2.882,  816.043
2.964,  868.914
3.045,  924.041
3.127,  981.485
3.209,  1041.305
3.291,  1103.561
3.373,  1168.316
3.455,  1235.631
3.536,  1305.571
3.618,  1378.197
3.700,  1453.576
3.782,  1531.770
3.864,  1612.847
3.945,  1696.870
4.027,  1783.907
4.109,  1874.023
4.191,  1967.285
4.273,  2063.761
4.355,  2163.516
4.436,  2266.619
4.518,  2373.137
4.600,  2483.139
4.682,  2596.692
4.764,  2713.865
4.845,  2834.727
4.927,  2959.346
5.009,  3087.791
5.091,  3220.132
5.173,  3356.438
5.255,  3496.779
5.336,  3641.225
5.418,  3789.845
5.500,  3942.710
5.582,  4099.890
5.664,  4261.456
5.745,  4427.479
5.827,  4598.030
5.909,  4773.180
5.991,  4952.999
6.073,  5137.561
6.155,  5326.937
6.236,  5521.198
6.318,  5720.417
6.400,  5924.665
6.482,  6134.017
6.564,  6348.543
6.645,  6568.318
6.727,  6793.414
6.809,  7023.904
6.891,  7259.862
6.973,  7501.361
7.055,  7748.476
7.136,  8001.280
7.218,  8259.847
7.300,  8524.252
7.382,  8794.568
7.464,  9070.872
7.545,  9353.237
7.627,  9641.739
7.709,  9936.452
7.791,  10237.453
7.873,  10544.816
7.955,  10858.618
8.036,  11178.933
8.118,  11505.839
8.200,  11839.411
8.282,  12179.725
8.364,  12526.858
8.445,  8806.581
8.527,  9006.512
8.609,  9209.975
8.691,  9417.014
8.773,  9627.671
8.855,  9841.990
8.936,  10060.015
9.018,  10281.790
9.100,  10507.359
9.182,  10736.765
9.264,  10970.053
9.345,  11207.268
9.427,  11448.453
9.509,  11693.653
9.591,  11942.913
9.673,  12196.278
9.755,  12453.792
9.836,  12715.500
9.918,  12981.447
10.00,  13251.679
10.08,  13526.241
13.08,  26985.358
16.10,  48769.023
19.12,  81009.320
22.14,  125609.113
25.16,  184039.626
28.18,  257299.796
31.20,  336903.530
34.22,  425318.784
37.24,  521203.157
40.26,  622519.268
43.28,  727029.223
46.30,  832367.013
49.32,  936091.592
52.34,  1039329.180
55.36,  1140656.388
58.38,  1239437.135
61.40,  1335183.108
64.42,  1427520.385
67.44,  1516179.436
70.46,  1600983.177
73.48,  1681834.318
76.50,  1758702.864
79.52,  1831614.307
82.54,  1900638.858
85.56,  1965881.848
88.58,  2027475.366
91.60,  2085571.085
94.62,  2140334.208
97.64,  2191938.433
100.6,  	2240561.810
103.6,  	2286383.394
106.7,  	2329580.566
109.7,  	2370326.929
112.7,  	2408790.683
115.7,  	2445133.405
118.7,  	2479509.150
121.8,  	2512063.825
124.8,  	2542934.775
127.8,  	2572250.543
130.8,  	2600130.771
133.8,  	2626686.194
136.9,  	2652018.729
139.9,  	2676221.615
142.9,  	2699379.604
145.9,  	2721569.176
148.9,  	2742858.784
152.0,  	2763309.103
155.0,  	2782973.287
158.0,  	2801897.231
161.0,  	2820119.822
164.0,  	2837673.195
167.1,  	2855453.305
170.1,  	2871869.433
173.1,  	2887784.908
176.1,  	2903226.943
179.1,  	2918220.068
182.2,  	2932786.324
185.2,  	2946945.433
188.2,  	2960714.970
191.2,  	2974110.518
194.2,  	2987145.811
197.3,  	2999832.876
200.3,  	3012182.154
203.3,  	3024202.627
206.3,  	3035901.921
209.3,  	3047286.417
212.4,  	3058361.344
215.4,  	3069130.870
218.4,  	3079598.187
221.4,  	3089765.590
224.4,  	3099634.551
227.5,  	3109205.785
230.5,  	3118479.322
233.5,  	3127454.559
236.5,  	3136130.322
239.5,  	3144504.918
242.6,  	3152576.184
245.6,  	3160341.538
248.6,  	3167798.019
251.6,  	3174942.329
254.6,  	3181770.878
257.7,  	3188279.815
260.7,  	3194465.068
263.7,  	3200322.374
266.7,  	3205847.313
269.7,  	3211035.340
272.8,  	3215881.809
275.8,  	3220382.003
278.8,  	3224531.160
281.8,  	3228324.500
284.8,  	3231757.242
287.9,  	3234824.633
290.9,  	3237521.967
293.9,  	3239844.605
296.9,  	3241787.993
300.0,  	3243347.685
