temperature, cvcu
1.000,	108.111
4.020,	899.640
7.040,	3009.714
10.061,	7809.791
13.081,	17211.537
16.101,	33332.862
19.121,	58158.945
22.141,	93237.416
25.162,	139488.059
28.182,	197143.696
31.202,	265798.799
34.222,	344526.603
37.242,	432026.483
40.263,	526772.435
43.283,	627144.399
46.303,	731533.569
49.323,	838419.592
52.343,	946421.682
55.364,	1054327.745
58.384,	1161106.316
61.404,	1265905.910
64.424,	1368045.802
67.444,	1467001.487
70.465,	1562387.299
73.485,	1653938.017
76.505,	1741490.669
79.525,	1824967.377
82.545,	1904359.676
85.566,	1979714.564
88.586,	2051122.331
91.606,	2118706.131
94.626,	2182613.173
97.646,	2243007.394
100.667,	2300063.441
103.687,	2353961.795
106.707,	2404884.877
109.727,	2453013.987
112.747,	2498526.945
115.768,	2541596.309
118.788,	2582388.071
121.808,	2621060.747
124.828,	2657764.774
127.848,	2692642.166
130.869,	2725826.355
133.889,	2757442.201
136.909,	2787606.108
139.929,	2816426.237
142.949,	2844002.773
145.970,	2870428.252
148.990,	2895787.902
152.010,	2920160.016
155.030,	2943616.322
158.051,	2966222.364
161.071,	2988037.871
164.091,	3009117.118
167.111,	3029509.283
170.131,	3049258.780
173.152,	3068405.586
176.172,	3086985.541
179.192,	3105030.646
182.212,	3122569.332
185.232,	3139626.719
188.253,	3156224.858
191.273,	3172382.961
194.293,	3188117.609
197.313,	3203442.953
200.333,	3218370.899
203.354,	3232911.284
206.374,	3247072.034
209.394,	3260859.318
212.414,	3274277.685
215.434,	3287330.201
218.455,	3300018.569
221.475,	3312343.244
224.495,	3324303.539
227.515,	3335897.728
230.535,	3347123.139
233.556,	3357976.242
236.576,	3368452.731
239.596,	3378547.602
242.616,	3388255.228
245.636,	3397569.422
248.657,	3406483.509
251.677,	3414990.382
254.697,	3423082.562
257.717,	3430752.249
260.737,	3437991.379
263.758,	3444791.667
266.778,	3451144.659
269.798,	3457041.771
272.818,	3462474.334
275.838,	3467433.631
278.859,	3471910.938
281.879,	3475897.558
284.899,	3479384.855
287.919,	3482364.288
290.939,	3484827.440
293.960,	3486766.050
296.980,	3488172.040
300.000,	3489037.542
