temperature, B0, B3
1.0000,	49.1000,	241.1000
4.0202,	3190.2530,	3962.1318
5.0000,	6137.5000,	7097.5000
5.0505,	6325.3698,	7295.0668
5.1010,	6517.0348,	7496.4288
5.1515,	6712.5330,	7701.6240
5.2020,	6911.9024,	7910.6903
5.2525,	7115.1808,	8123.6656
5.3030,	7322.4062,	8340.5880
5.3535,	7533.6166,	8561.4954
5.4040,	7748.8500,	8786.4258
5.4545,	7968.1443,	9015.4170
5.5051,	8191.5373,	9248.5070
5.5556,	8419.0672,	9485.7339
5.6061,	8650.7718,	9727.1355
5.6566,	8886.6892,	9972.7498
5.7071,	9126.8571,	10222.6147
5.7576,	9371.3137,	10476.7682
5.8081,	9620.0968,	10735.2483
5.8586,	9873.2444,	10998.0929
5.9091,	10130.7945,	11265.3400
5.9596,	10392.7850,	11537.0274
6.0101,	10659.2539,	11813.1933
6.0606,	10930.2390,	12093.8754
6.1111,	11205.7785,	12379.1118
6.1616,	11485.9101,	12668.9404
6.2121,	11770.6719,	12963.3992
6.2626,	12060.1019,	13262.5261
6.3131,	12354.2379,	13566.3591
6.3636,	12653.1180,	13874.9361
6.4141,	12956.7800,	14188.2951
6.4646,	13265.2619,	14506.4741
6.5152,	13578.6018,	14829.5109
6.5657,	13896.8375,	15157.4435
6.6162,	14220.0069,	15490.3100
6.6667,	14548.1481,	15828.1481
6.7172,	14881.2991,	16170.9960
6.7677,	15219.4976,	16518.8915
6.8182,	15562.7817,	16871.8727
6.8687,	15911.1894,	17229.9773
6.9192,	16264.7586,	17593.2435
6.9697,	16623.5273,	17961.7091
7.0202,	16987.5333,	18335.4121
7.0707,	17356.8148,	18714.3905
7.1212,	17731.4095,	19098.6822
7.1717,	18111.3555,	19488.3252
7.2222,	18496.6907,	19883.3573
7.2727,	18887.4530,	20283.8167
7.3232,	19283.6805,	20689.7411
7.3737,	19685.4111,	21101.1687
7.4242,	20092.6827,	21518.1372
7.4747,	20505.5332,	21940.6848
7.5253,	20924.0007,	22368.8492
7.5758,	21348.1231,	22802.6686
7.6263,	21777.9383,	23242.1807
7.6768,	22213.4843,	23687.4237
7.7273,	22654.7990,	24138.4354
7.7778,	23101.9204,	24595.2538
7.8283,	23554.8865,	25057.9168
7.8788,	24013.7351,	25526.4624
7.9293,	24478.5043,	26000.9286
7.9798,	24949.2320,	26481.3533
8.0303,	25425.9562,	15861.8468
8.0808,	25908.7147,	16068.3896
8.1313,	26397.5456,	16276.9409
8.1818,	26892.4869,	16487.5131
8.2323,	27393.5763,	16700.1190
8.2828,	27900.8520,	16914.7709
8.3333,	28414.3519,	17131.4815
8.3838,	28934.1138,	17350.2633
8.4343,	29460.1758,	17571.1289
8.4848,	29992.5759,	17794.0908
8.5354,	30531.3519,	18019.1615
8.5859,	31076.5419,	18246.3538
8.6364,	31628.1837,	18475.6799
8.6869,	32186.3154,	18707.1527
8.7374,	32750.9748,	18940.7845
8.7879,	33322.2000,	19176.5879
8.8384,	33900.0288,	19414.5756
8.8889,	34484.4993,	19654.7599
8.9394,	35075.6494,	19897.1536
8.9899,	35673.5170,	20141.7692
9.0404,	36278.1402,	20388.6191
9.0909,	36889.5567,	20637.7160
9.1414,	37507.8047,	20889.0724
9.1919,	38132.9220,	21142.7009
9.2424,	21398.6140,	21398.6140
9.2929,	21656.8242,	21656.8242
9.3434,	21917.3442,	21917.3442
9.3939,	22180.1864,	22180.1864
9.4444,	22445.3635,	22445.3635
9.4949,	22712.8880,	22712.8880
9.5455,	22982.7724,	22982.7724
9.5960,	23255.0292,	23255.0292
9.6465,	23529.6711,	23529.6711
9.6970,	23806.7106,	23806.7106
9.7475,	24086.1603,	24086.1603
9.7980,	24368.0326,	24368.0326
9.8485,	24652.3402,	24652.3402
9.8990,	24939.0956,	24939.0956
9.9495,	25228.3113,	25228.3113
10.0000,	25520.0000,	25520.0000
10.0505,	25814.1741,	25814.1741
13.0808,	48487.7622,	48487.7622
16.1010,	82728.5779,	82728.5779
19.1212,	131280.1433,	131280.1433
22.1414,	196826.8462,	196826.8462
25.1616,	282053.0744,	282053.0744
28.1818,	389643.2156,	389643.2156
31.2020,	493333.9370,	493333.9370
34.2222,	603061.5844,	603061.5844
37.2424,	717391.8405,	717391.8405
40.2626,	833162.3004,	833162.3004
43.2828,	946775.8350,	946775.8350
46.3030,	1054200.5911,   1054200.5911
49.3232,	1150969.9916,   1150969.9916
52.3434,	1243725.6752,   1243725.6752
55.3636,	1330579.4033,   1330579.4033
58.3838,	1411764.9374,   1411764.9374
61.4040,	1487592.9450,   1487592.9450
64.4242,	1558364.4684,   1558364.4684
67.4444,	1624370.9250,   1624370.9250
70.4646,	1685894.1069,   1685894.1069
73.4848,	1743206.1814,   1743206.1814
76.5051,	1796569.6907,   1796569.6907
79.5253,	1846237.5520,   1846237.5520
82.5455,	1892453.0574,   1892453.0574
85.5657,	1935449.8740,   1935449.8740
88.5859,	1975452.0438,   1975452.0438
91.6061,	2012673.9839,   2012673.9839
94.6263,	2047320.4863,   2047320.4863
97.6465,	2079586.7179,   2079586.7179
100.6667,	2109658.2207,   2109658.2207
103.6869,	2137710.9115,   2137710.9115
106.7071,	2163911.0823,   2163911.0823
109.7273,	2188415.3997,   2188415.3997
112.7475,	2211370.9058,   2211370.9058
115.7677,	2232915.0171,   2232915.0171
118.7879,	2253175.5254,   2253175.5254
121.8081,	2272270.5975,   2272270.5975
124.8283,	2290308.7749,   2290308.7749
127.8485,	2307388.9744,   2307388.9744
130.8687,	2323600.4874,   2323600.4874
133.8889,	2339022.9806,   2339022.9806
136.9091,	2353726.4954,   2353726.4954
139.9293,	2367771.4484,   2367771.4484
142.9495,	2381208.6310,   2381208.6310
145.9697,	2394079.2097,   2394079.2097
148.9899,	2406414.7258,   2406414.7258
152.0101,	2418237.0957,   2418237.0957
155.0303,	2429558.6106,   2429558.6106
158.0505,	2440381.9370,   2440381.9370
161.0707,	2450700.1161,   2450700.1161
164.0909,	2460496.5640,   2460496.5640
167.1111,	2472530.1533,   2472530.1533
170.1313,	2481612.8691,   2481612.8691
173.1515,	2490419.4175,   2490419.4175
176.1717,	2498958.0260,   2498958.0260
179.1919,	2507236.7965,   2507236.7965
182.2121,	2515263.7055,   2515263.7055
185.2323,	2523046.6036,   2523046.6036
188.2525,	2530593.2160,   2530593.2160
191.2727,	2537911.1422,   2537911.1422
194.2929,	2545007.8562,   2545007.8562
197.3131,	2551890.7062,   2551890.7062
200.3333,	2558566.9149,   2558566.9149
203.3535,	2565043.5795,   2565043.5795
206.3737,	2571327.6716,   2571327.6716
209.3939,	2577426.0369,   2577426.0369
212.4141,	2583345.3958,   2583345.3958
215.4343,	2589092.3429,   2589092.3429
218.4545,	2594673.3475,   2594673.3475
221.4747,	2600094.7528,   2600094.7528
224.4949,	2605362.7769,   2605362.7769
227.5152,	2610483.5120,   2610483.5120
230.5354,	2615462.9248,   2615462.9248
233.5556,	2620306.8562,   2620306.8562
236.5758,	2625021.0219,   2625021.0219
239.5960,	2629611.0116,   2629611.0116
242.6162,	2634082.2896,   2634082.2896
245.6364,	2638440.1945,   2638440.1945
248.6566,	2642689.9394,   2642689.9394
251.6768,	2646836.6117,   2646836.6117
254.6970,	2650885.1733,   2650885.1733
257.7172,	2654840.4603,   2654840.4603
260.7374,	2658707.1834,   2658707.1834
263.7576,	2662489.9276,   2662489.9276
266.7778,	2666193.1523,   2666193.1523
269.7980,	2669821.1914,   2669821.1914
272.8182,	2673378.2530,   2673378.2530
275.8384,	2676868.4197,   2676868.4197
278.8586,	2680295.6485,   2680295.6485
281.8788,	2683663.7708,   2683663.7708
284.8990,	2686976.4924,   2686976.4924
287.9192,	2690237.3935,   2690237.3935
290.9394,	2693449.9287,   2693449.9287
293.9596,	2696617.4268,   2696617.4268
296.9798,	2699743.0913,   2699743.0913
300.0000,	2702830.0000,   2702830.0000
