time,   500_nodes,   500_error,    1000_nodes,  1000_error   
0.01,   -1.20,       -0.207,       0.30,        -0.059
0.02,   0.59,        -0.207,       -0.89,       -0.059 
0.03,   -0.29,       -0.207,       -0.29,       -0.059 
0.04,   -0.58,       -0.207,       0.88,        -0.059
0.05,   -0.29,       -0.207,       -0.29,       -0.059 
0.06,   2.34,        -0.207,       -0.58,       -0.059 
0.07,   -0.58,       -0.207,        0.88,       -0.059 
0.08,   -0.58,       -0.207,       -0.58,       -0.059 
0.09,   -0.87,       -0.207,       0.58,        -0.059
0.1,    -0.58,       -0.207,       -0.58,       -0.059 


