time, benchmark, 50_nodes, 100_nodes
0.010,	19.786,	19.734,	19.900
0.020,	19.977,	19.914,	20.097
0.030,	20.280,	20.224,	20.429
0.040,	20.661,	20.618,	20.845
0.050,	21.092,	21.065,	21.309
0.060,	21.553,	21.540,	21.800
0.070,	22.030,	22.029,	22.303
0.080,	22.514,	22.524,	22.810
0.090,	23.000,	23.019,	23.316
0.100,	23.484,	23.510,	23.816
0.110,	23.963,	23.995,	24.311
0.120,	24.436,	24.472,	24.797
0.130,	24.903,	24.943,	25.276
0.140,	25.362,	25.405,	25.746
0.150,	25.814,	25.859,	26.209
0.160,	26.258,	26.306,	26.663
0.170,	26.695,	26.745,	27.110
0.180,	27.126,	27.177,	27.549
0.190,	27.550,	27.603,	27.982
0.200,	27.968,	28.021,	28.408
0.210,	28.379,	28.434,	28.829
0.220,	28.786,	28.842,	29.245
0.230,	29.188,	29.245,	29.657
0.240,	29.586,	29.643,	30.064
0.250,	29.980,	30.038,	30.468
0.260,	30.370,	30.429,	30.868
0.270,	30.757,	30.817,	31.265
0.280,	31.141,	31.202,	31.658
0.290,	31.522,	31.584,	32.050
0.300,	31.901,	31.963,	32.438
