time, 50_nodes, 100_nodes, 1000_nodes
0.01,	-17.76, -4.20,	-9.52
0.02,	-14.93, -4.36,	-6.42
0.03,	-13.88, -5.27,	-5.25
0.04,	-12.54, -5.22,	-3.79
0.05,	-12.10, -5.77,	-3.32
0.06,	-11.77, -0.84,	-3.50
0.07,	-11.09, -1.29,	-2.71
0.08,	-10.92, -2.07,	-2.49
0.09,	-3.03,	-2.72,	-2.32
0.10,	-3.24,	-2.91,	-1.84
0.11,	-3.73,	-3.39,	-2.08
0.12,	-4.15,	-0.78,	-1.98
0.13,	-4.52,	-1.35,	-1.91
0.14,	-4.84,	-1.85,	-1.84
0.15,	-4.89,	-2.04,	-1.55
0.16,	-5.15,	-2.45,	-1.75
0.17,	-5.39,	-0.64,	-1.72
0.18,	-5.60,	-1.08,	-1.69
0.19,	-5.79,	-1.47,	-1.67
0.20,	-2.10,	-1.65,	-1.47
0.21,	-2.45,	-1.99,	-1.64
0.22,	-2.77,	-2.30,	-1.64
0.23,	-3.06,	-1.00,	-1.63
0.24,	-3.32,	-1.33,	-1.63
0.25,	-3.43,	-1.49,	-1.49
0.26,	-3.67,	-1.78,	-1.64
0.27,	-3.88,	-2.05,	-1.65
0.28,	-4.09,	-2.30,	-1.66
0.29,	-4.28,	-1.31,	-1.68
0.30,	-4.34,	-1.46,	-1.58
0.31,	-2.25,	-1.71,	-1.72
0.32,	-2.49,	-1.95,	-1.74
0.33,	-2.72,	-2.18,	-1.76
0.34,	-2.94,	-1.38,	-1.78
0.35,	-3.05,	-1.52,	-1.71
0.36,	-3.25,	-1.75,	-1.84
0.37,	-3.44,	-1.96,	-1.87
0.38,	-3.62,	-2.17,	-1.90
0.39,	-3.80,	-2.36,	-1.94
0.40,	-3.96,	-1.72,	-1.97
0.41,	-4.04,	-1.85,	-2.01
0.42,	-2.65,	-2.05,	-2.05
0.43,	-2.85,	-2.24,	-2.09
0.44,	-3.04,	-2.42,	-2.13
0.45,	-3.22,	-1.90,	-2.17
0.46,	-3.33,	-2.02,	-2.22
0.47,	-3.50,	-2.20,	-2.27
0.48,	-3.66,	-2.38,	-2.32
0.49,	-3.82,	-2.56,	-2.37
0.50,	-3.98,	-2.72,	-2.42
